Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD
COUNCILWOMAN,3.5625,0,0.1875,0.375,0.0625,4.25,0.263157895,0.842105263,2.210526316,2,0.631578947,1.31497782,0,0.543905629,1.087811258,0.25,1.125462868,1.147078669,1.462993806,2.097060042,2.108185107,1.570934835
COUNTDOWN,3.263157895,0.210526316,0.210526316,0.842105263,0.157894737,3.684210526,0.380952381,1.523809524,2.952380952,2.80952381,0.476190476,1.967573386,0.630603535,0.630603535,1.572795031,0.501459857,1.529438226,0.920662287,1.470341716,2.334013506,2.182178902,0.980767435
COUNTERACTION,1.894736842,0.315789474,1.105263158,1.157894737,0.210526316,3.473684211,1.25,1.95,2.65,1.35,0.7,1.791794161,0.671038298,1.286456669,1.675415633,0.535303379,1.678902454,1.551739262,2.038446261,2.158825217,1.496487115,1.031095483
COUNTERFEIT,1.052631579,0.473684211,2.157894737,0.894736842,0.473684211,3.736842105,0.380952381,2.238095238,2.80952381,0.761904762,0.428571429,1.544656891,0.964274111,1.675415633,1.663154193,0.904827857,1.661395172,0.864649668,1.813966976,2.135861597,1.091089451,0.978336781
COUNTERREVOLUTION,1.533333333,0,0.466666667,0.733333333,0.066666667,2.933333333,0.4375,0.625,1.8125,1.4375,0.625,1.767430203,0,1.302013093,1.387014608,0.25819889,1.869555588,1.209338662,1.360147051,2.136000936,2.220172666,1.360147051
COUNTERSTRIKE,2.526315789,0.578947368,1.368421053,0.736842105,0.421052632,3.631578947,1.142857143,2.476190476,2.80952381,0.761904762,1.095238095,2.195156817,1.426565007,1.977948609,1.557851272,1.070606758,1.706540566,1.525965736,1.9136104,2.182178902,1.091089451,1.338086765
CRATER,0.695652174,0.347826087,1.043478261,0.739130435,0.608695652,3.565217391,1.052631579,1.052631579,1.842105263,0.421052632,0.473684211,1.184551415,0.98205238,1.551487874,1.388831795,1.405803893,1.804693048,1.89952287,1.89952287,2.217685427,1.216360211,1.306752593
CREDITABLY,2.25,0,0,1.6875,0.0625,2.5,0.4,0.65,2.95,2.65,0.4,1.843908891,0,0,2.023816527,0.25,2.12916259,0.940324692,1.136708082,2.064104241,1.980829172,0.994722918
CRESTED,0.277777778,0.222222222,1.277777778,0.555555556,0.222222222,2.277777778,0.6875,1,0.8125,0.75,0.6875,0.751903902,0.942809042,1.872574684,0.983524408,0.732084498,2.136670184,1.078192933,1.751190072,1.167261753,1.238278375,1.01447852
CREWLESS,0.894736842,0.157894737,0.157894737,0.421052632,0,3.210526316,0.444444444,0.5,2.277777778,0.777777778,0.388888889,1.328940131,0.688247202,0.688247202,0.96123702,0,1.718492471,0.983524408,0.985184366,1.934381055,1.437135859,0.777544316
CRIMINALIZE,2.3,0.2,0.2,0.5,0.15,2.1,0.55,1.25,2.7,1.7,0.55,1.559352092,0.894427191,0.695852374,0.945905303,0.670820393,1.552586975,1.099042646,1.650358813,1.780005914,1.894590638,1.050062655
CRISP,2.2,2.4,3.15,0.8,0.7,1.95,0.761904762,2.047619048,2.095238095,2.761904762,0.714285714,1.989445837,1.984147702,1.843195166,1.23969436,1.417930293,1.848897253,1.374945886,1.745743122,1.972429008,1.813966976,1.419255338
CRUCIFIX,0.888888889,0,1.722222222,1,0,3.777777778,1,1.9,1.8,0.85,1.2,1.811365714,0,1.903728711,1.644956642,0,1.80050828,1.654340384,1.916685736,1.673320053,1.663066287,1.542383664
CRUISE,2.1875,0.3125,0.5625,1.125,0.9375,3.625,2,2.105263158,2.421052632,1.631578947,1.578947368,1.558578412,0.793200269,0.892094913,1.62788206,1.52616076,1.5,2.02758751,1.822535988,2.142578651,1.977948609,1.804801912
CRUNCH,4.05,1.2,1.9,1.3,0.05,1.55,1.428571429,1.333333333,1.571428571,3.571428571,1.238095238,1.605090586,1.609184167,1.889026483,1.490319641,0.223606798,1.637552731,1.535298947,1.559914528,1.599106894,1.832250763,1.546116487
CURATOR,2.111111111,0.222222222,0.944444444,0.388888889,0.222222222,4,1.055555556,1.833333333,3.222222222,1.944444444,0.833333333,1.778594584,0.646761667,1.304842664,1.036900863,0.646761667,1.644956642,1.513555309,1.886484437,2.073801725,1.862074183,1.339446769
CURIOSITY,2.368421053,0.947368421,1.526315789,3.473684211,1.157894737,2.894736842,0.666666667,1.19047619,3.952380952,2,0.666666667,2.033347713,1.544656891,1.806421295,1.743827879,1.607729866,2.131633094,1.016530045,1.400680107,1.883512423,1.643167673,1.016530045
CURVE BALL,1.043478261,0.217391304,1.739130435,0.695652174,0.173913043,3.739130435,0.736842105,3.421052632,2.157894737,0.315789474,1.263157895,1.429502802,0.735868179,2.071832551,1.105144277,0.650326765,1.737746485,1.284181766,2.090076805,2.115108558,0.820069887,1.820930936
DANCEFLOOR,1.388888889,0,2.222222222,0.388888889,0.277777778,4.277777778,4.095238095,2.666666667,2.619047619,0.952380952,2.619047619,1.85151413,0,2.184317246,1.036900863,0.95828005,0.894792487,1.757975026,2.033060091,1.935876816,1.657594356,2.060975266
DANGEROUS,2.05,0.2,1,3.2,0.75,3.35,2.523809524,2.904761905,3.238095238,2.428571429,2.428571429,1.700619082,0.523148364,1.297771369,1.908430052,1.118033989,1.87153188,1.569045813,1.578124263,1.609495632,1.719634513,1.832250763
DEAD ON,2.047619048,0.80952381,1.142857143,1.19047619,0.80952381,2.476190476,0.444444444,0.777777778,1.777777778,0.888888889,0.444444444,1.883512423,1.600595127,1.768776817,1.721018525,1.536848972,1.939563034,1.338226316,1.437135859,2.263665834,1.604731566,1.1490263
DECAFFEINATE,0.608695652,2.47826087,0.52173913,1.913043478,1.217391304,1.260869565,0.166666667,0.555555556,1.388888889,1.888888889,0.833333333,1.405803893,2.042048108,1.081647112,1.729767285,1.412815427,1.684620036,0.514495755,1.381483526,1.68519117,1.967048816,1.58113883
DECIPHERER,1.947368421,0.526315789,0.894736842,1.210526316,0.684210526,2.157894737,0.157894737,1.210526316,3.842105263,1.526315789,0.157894737,1.89952287,1.123902974,1.196974744,1.652571981,1.492672159,1.675415633,0.374634325,1.843274483,1.772103518,2.03765718,0.501459857
DEEPENING,1.95,0.75,1.7,1.85,0.85,2.55,1.1,1.5,1.7,1.25,0.65,1.959457497,1.164157703,1.780005914,1.926955603,1.348488433,1.959457497,1.803505359,1.732050808,1.75018796,1.970172314,1.386969434
DEFORMITY,0.368421053,0.052631579,1.526315789,1.421052632,0,3.473684211,1.368421053,1.631578947,1.789473684,1.210526316,1,0.895080773,0.229415734,1.645479365,1.742150315,0,1.866917276,1.977948609,2.005839428,1.931578151,1.618605276,1.598610508
DEPLORED,1.733333333,0,0.2,1.6,0,2,0.4375,0.25,3.125,2.5625,0.3125,2.086236073,0,0.560611911,2.131397932,0,2.171240593,1.209338662,1,2.125245084,2.308498791,1.01447852
DEPLOY,1.705882353,0,1,0.647058824,0.235294118,3.470588235,1.428571429,2.333333333,2.476190476,1.238095238,1.523809524,1.571810496,0,1.767766953,1.271867548,0.752446989,1.545867356,1.912365775,2.175622516,2.112322126,2.022492569,1.990453406
DEVILISHNESS,2.25,0.5,0.85,1.95,0.6,2.65,0.75,1.05,2.65,1.95,0.7,1.712953743,1.051314966,1.460893742,1.571958216,1.231174023,1.78517285,1.618153594,1.932410548,2.033275812,2.163695669,1.559352092
